Location    Name
----------  ----------------------------------------------------
westus2     128technology
westus2     1e
westus2     2021ai
westus2     4psa
westus2     5nine-software-inc
westus2     7isolutions
westus2     a10networks
westus2     a10_networks-5255398
westus2     abiquo
westus2     accedian
westus2     accellion
westus2     accessdata-group
westus2     accops
westus2     acronis
westus2     Acronis.Backup
westus2     actian-corp
westus2     actian_matrix
westus2     actifio
westus2     activeeon
westus2     adgs
westus2     advantech-webaccess
westus2     advantys
westus2     aerospike
westus2     affinio
westus2     aggregion-ltd
westus2     airalabrus
westus2     aiscaler-cache-control-ddos-and-url-rewriting-
westus2     akamai-technologies
westus2     akumina
westus2     akumo-software
westus2     alachisoft
westus2     alertlogic
westus2     AlertLogic.Extension
westus2     alienvault
westus2     alldigital-brevity
westus2     altair-engineering-inc
westus2     altamira-corporation
westus2     alteryx
westus2     altova
westus2     antmedia
westus2     aod
westus2     apigee
westus2     appcara
westus2     appcelerator
westus2     appex-networks
westus2     appistry
westus2     appiyo_technologies
westus2     apps-4-rent
westus2     appscale-marketplace
westus2     aquaforest
westus2     arabesque-group
westus2     arangodb
westus2     aras
westus2     arcblock
westus2     arista-networks
westus2     ariwontollc
westus2     array_networks
westus2     artificial-intelligence-techniques-sl
westus2     asigra
westus2     astadia-1148316
westus2     atlassian
westus2     atomicorp
westus2     attunity_cloudbeam
westus2     audiocodes
westus2     auraportal
westus2     auriq-systems
westus2     avepoint
westus2     avi-networks
westus2     aviatrix-systems
westus2     awingu
westus2     axway
westus2     azul
westus2     azurecyclecloud
westus2     AzureDatabricks
westus2     AzureRT.Test
westus2     azuretesting
westus2     azuretesting2
westus2     azuretesting3
westus2     AzureTools1type
westus2     baas-techbureau
westus2     baffle-io
westus2     balabit
westus2     Barracuda
westus2     barracudanetworks
westus2     basho
westus2     batch
westus2     bdy
westus2     beyondtrust
westus2     bi-builders-as
westus2     bitnami
westus2     bizagi
westus2     biztalk360
westus2     black-duck-software
westus2     blackberry
westus2     blackbird
westus2     blk-technologies
westus2     blockapps
westus2     blockchain-foundry
westus2     blockstack
westus2     bloombase
westus2     bluecat
westus2     bluetalon
westus2     bmc.ctm
westus2     bmcctm.test
westus2     bocada
westus2     bravura-software-llc
westus2     brocade_communications
westus2     bt-americas-inc
westus2     buddhalabs
westus2     Canonical
westus2     carto
westus2     cask
westus2     catechnologies
westus2     cautelalabs
westus2     cavirin
westus2     cds
westus2     celum-gmbh
westus2     center-for-internet-security-inc
westus2     certivox
westus2     cfd-direct
westus2     chain
westus2     checkpoint
westus2     chef-software
westus2     Chef.Bootstrap.WindowsAzure
westus2     cinegy-gmbh
westus2     circleci
westus2     cires21
westus2     cisco
westus2     citrix
westus2     clear-linux-project
westus2     clouber
westus2     cloud-checkr
westus2     cloud-cruiser
westus2     cloud-infrastructure-services
westus2     cloudbees
westus2     cloudbees-enterprise-jenkins
westus2     cloudbolt-software
westus2     cloudboost
westus2     cloudenablers-inc
westus2     cloudera
westus2     cloudflare
westus2     cloudhouse
westus2     cloudhub-technologies
westus2     cloudlanes
westus2     cloudlink
westus2     CloudLinkEMC.SecureVM
westus2     cloudneeti
westus2     cloudplan-gmbh
westus2     cloudsecurity
westus2     cloudsoft
westus2     clustrix
westus2     codelathe
westus2     codenvy
westus2     cognosys
westus2     cohesity
westus2     cohesive
westus2     commvault
westus2     composable
westus2     comunity
westus2     Confer
westus2     confluentinc
westus2     connecting-software
westus2     consensys
westus2     containeraider
westus2     controlcase
westus2     convertigo
westus2     corda
westus2     CoreOS
westus2     couchbase
westus2     credativ
westus2     cryptzone
westus2     ctm.bmc.com
westus2     cybernetica-as
westus2     cyxtera
westus2     d4t4_solutions-1164305
westus2     danielsol.AzureTools1
westus2     Dans.Windows.App
westus2     Dans3.Windows.App
westus2     dataart
westus2     databricks
westus2     datacore
westus2     Datadog.Agent
westus2     dataiku
westus2     datalayer
westus2     datastax
westus2     datasunrise
westus2     datometry
westus2     ddn-whamcloud-5345716
westus2     dece-4446019
westus2     decisosalesbv
westus2     dellemc
westus2     dell_software
westus2     delphix
westus2     denodo
westus2     denyall
westus2     derdack
westus2     devfactory
westus2     dgsecure
westus2     dhi
westus2     diagramics
westus2     diehl-metering
westus2     diffeoinc
westus2     diladele
westus2     dimensionalmechanics-inc
westus2     diqa
westus2     docker
westus2     dome9
westus2     drizti
westus2     drone
westus2     dsi
westus2     dundas
westus2     dyadic_security
westus2     dynatrace
westus2     dynatrace.ruxit
westus2     eastwind-networks-inc
westus2     edevtech
westus2     education4sight
westus2     egnyte
westus2     elasticbox
westus2     elecard
westus2     electric-cloud
westus2     elevateiot
westus2     elfiqnetworks
westus2     emercoin
westus2     enforongo
westus2     enterprise-ethereum-alliance
westus2     enterprisedb-corp
westus2     enterpriseworx-it
westus2     equalum
westus2     equilibrium
westus2     esdenera
westus2     eset
westus2     esri
westus2     esyon
westus2     ethereum
westus2     eventtracker
westus2     evostream-inc
westus2     exact
westus2     exasol
westus2     exivity
westus2     f5-networks
westus2     falconstorsoftware
westus2     fatpipe-inc
westus2     fidesys
westus2     filecatalyst
westus2     firehost
westus2     flashgrid-inc
westus2     flexbby-5255860
westus2     flexify-io
westus2     flowmon
westus2     flynet
westus2     foghorn-systems
westus2     forcepoint-llc
westus2     forscene
westus2     fortinet
westus2     fortycloud
westus2     fujitsu_fast
westus2     fw
westus2     gapteq
westus2     gbs
westus2     gemalto-safenet
westus2     Gemalto.SafeNet.ProtectV
westus2     genesys-source
westus2     gigamon-inc
westus2     GitHub
westus2     gitlab
westus2     globalscape
westus2     graphitegtc
westus2     great-software-laboratory-private-limited
westus2     greensql
westus2     greycorbelsolutions
westus2     gridgain
westus2     guardicore
